Change Component Footprint: Designator=D2 Old Footprint=SMC New Footprint=DO-214AC_21
Change Component Comment: Designator=R1 Old Comment==Value New Comment=Comment
Change Component Comment: Designator=C10 Old Comment==Value New Comment=Comment
Change Component Comment: Designator=R3 Old Comment==Value New Comment=Comment
Change Component Comment: Designator=Y1 Old Comment==Value New Comment=Comment
Change Component Comment: Designator=C9 Old Comment==Value New Comment=Comment
Change Component Comment: Designator=C7 Old Comment==Value New Comment=Comment
Change Component Comment: Designator=C8 Old Comment==Value New Comment=Comment
Change Component Comment: Designator=C1 Old Comment==Value New Comment=Comment
Change Component Comment: Designator=C2 Old Comment==Value New Comment=Comment
Change Component Comment: Designator=C3 Old Comment==Value New Comment=Comment
Change Component Comment: Designator=C4 Old Comment==Value New Comment=Comment
Change Component Comment: Designator=C5 Old Comment==Value New Comment=Comment
Change Component Comment: Designator=C6 Old Comment==Value New Comment=Comment
Change Component Comment: Designator=D2 Old Comment=GF1A New Comment=Comment
Change Component Comment: Designator=D3 Old Comment=GF1A New Comment=Comment
Change Component Comment: Designator=D4 Old Comment=Green LED New Comment=Comment
